epoch,loss,psnr
0,0.010974587,25.25512657
1,0.003852812,27.2455864
2,0.003094108,28.21924553
3,0.002639624,28.88429298
4,0.002381135,29.40121117
5,0.002222565,29.78849754
6,0.002095419,30.07679825
7,0.001991568,30.26431389
8,0.001912454,30.39496498
9,0.001855863,30.51688156
10,0.001816097,30.64487915
11,0.001786558,30.65194054
12,0.001762694,30.71667252
13,0.001742409,30.76176376
14,0.001724661,30.86680565
15,0.00170852,30.91692886
16,0.001693771,30.95592155
17,0.001679898,31.0241581
18,0.001667023,31.02150726
19,0.001654975,31.09676361
20,0.001643887,31.13784561
21,0.001633677,31.1316803
22,0.001624375,31.14685402
23,0.001615939,31.20329132
24,0.001608517,31.20836983
25,0.001601876,31.23620377
26,0.001596097,31.26068535
27,0.001590948,31.26630783
28,0.001586363,31.25378456
29,0.001582383,31.31739464
30,0.001578833,31.31040344
31,0.001575526,31.30860634
32,0.001572582,31.33360405
33,0.001569945,31.32419472
34,0.001567564,31.32073326
35,0.001565292,31.33991699
36,0.001563148,31.35467529
37,0.001561273,31.35840034
38,0.001559445,31.32758865
39,0.001557837,31.33212662
40,0.001556304,31.34673424
41,0.001554775,31.34157867
42,0.001553499,31.36040802
43,0.001552162,31.3488781
44,0.001550935,31.36274185
45,0.001549812,31.37169838
46,0.001548784,31.33969917
47,0.001547752,31.39188995
48,0.001546845,31.40194359
49,0.001545973,31.37786369
50,0.001545077,31.34784851
51,0.001544307,31.40177345
52,0.001543512,31.35132065
53,0.001542811,31.36197052
54,0.001542096,31.3950882
55,0.001541502,31.40220642
56,0.00154092,31.39224129
57,0.001540317,31.40636559
58,0.001539783,31.37925568
59,0.001539253,31.39900246
60,0.001538673,31.34624367
61,0.001538268,31.37583694
62,0.001537706,31.39573097
63,0.001537304,31.40933456
64,0.001536855,31.38538742
65,0.001536372,31.39510765
66,0.001535967,31.39813042
67,0.001535593,31.38265495
68,0.001535182,31.43786697
69,0.00153482,31.41494522
70,0.001534462,31.41332054
71,0.001534086,31.39906349
72,0.001533727,31.39493217
73,0.001533367,31.43669853
74,0.001533071,31.43363571
75,0.001532739,31.4256134
76,0.001532469,31.43171692
77,0.001532101,31.42988968
78,0.001531818,31.43960114
79,0.001531478,31.44227982
80,0.00153123,31.3921814
81,0.001530898,31.4339283
82,0.001530664,31.41559868
83,0.00153034,31.45305862
84,0.001530085,31.44852943
85,0.00152984,31.43790245
86,0.001529541,31.38736916
87,0.001529289,31.41790237
88,0.001529004,31.4691494
89,0.00152877,31.4365078
90,0.001528429,31.43858757
91,0.001528216,31.39086037
92,0.001527968,31.41058044
93,0.001527741,31.4428196
94,0.001527522,31.40186768
95,0.001527224,31.43934784
96,0.001526934,31.44808998
97,0.001526757,31.46288719
98,0.001526486,31.4565197
99,0.001526272,31.43922386
100,0.001526022,31.4667202
101,0.001525764,31.48283119
102,0.001525557,31.45318184
103,0.001525342,31.46914444
104,0.001525085,31.4567234
105,0.001524833,31.43735046
106,0.001524658,31.43094788
107,0.001524484,31.47466278
108,0.001524204,31.46459999
109,0.001523985,31.45649834
110,0.001523722,31.45117073
111,0.001523502,31.47584763
112,0.001523324,31.48748436
113,0.001523065,31.46048622
114,0.001522862,31.4694706
115,0.00152264,31.49616585
116,0.001522441,31.47634239
117,0.0015223,31.46431465
118,0.001522017,31.47144737
119,0.001521881,31.45463943
120,0.001521632,31.45458565
121,0.001521386,31.47442169
122,0.0015212,31.46323433
123,0.001520979,31.45808678
124,0.001520821,31.47853394
125,0.001520587,31.50769424
126,0.001520366,31.49703674
127,0.001520124,31.48870468
128,0.001519947,31.50076714
129,0.001519814,31.47170601
130,0.00151953,31.4691803
131,0.001519399,31.49001541
132,0.001519155,31.47149162
133,0.001519013,31.50549927
134,0.001518841,31.50848999
135,0.001518597,31.47118073
136,0.00151837,31.49311676
137,0.001518121,31.48800049
138,0.001517976,31.50917702
139,0.001517823,31.50488205
140,0.001517591,31.51012344
141,0.001517446,31.51332283
142,0.001517242,31.47572746
143,0.001516977,31.46353493
144,0.001516864,31.50836296
145,0.001516632,31.48608284
146,0.001516388,31.49931679
147,0.001516199,31.49160347
148,0.001516045,31.51944389
149,0.001515774,31.52806778
150,0.001515596,31.48421593
151,0.001515417,31.50219154
152,0.001515209,31.52005119
153,0.001515036,31.4989502
154,0.001514877,31.51439438
155,0.001514695,31.52835655
156,0.001514411,31.5244194
157,0.001514291,31.50153198
158,0.001514109,31.49830208
159,0.001513848,31.52814484
160,0.001513714,31.5282238
161,0.001513508,31.51472511
162,0.001513344,31.50570679
163,0.001513066,31.50809555
164,0.001512878,31.52248764
165,0.001512722,31.53310738
166,0.001512504,31.5300869
